week,day,Affordable housing,Public housing,Mortgage loan,Health care/health,Medical card,Education,Water charges,Jobs,Abortion,Crime,Tax,Economy,Environment,Flood,ISIS
1,01/01/2016,8,12,6,4,11,10,12,2,5,7,1,12,12,3,9
2,02/01/2016,11,14,12,6,10,5,9,2,13,3,1,7,14,4,8
3,03/01/2016,8,14,9,4,10,7,13,2,11,5,1,12,14,3,6
4,04/01/2016,8,12,6,3,13,7,10,2,14,5,1,11,15,4,9
5,05/01/2016,10,13,9,3,8,6,11,2,14,5,1,12,15,4,7
6,06/01/2016,10,13,5,4,9,7,11,2,14,3,1,12,15,6,8
7,07/01/2016,9,13,8,3,5,6,12,2,13,4,1,10,15,7,11
8,08/01/2016,9,11,6,3,7,5,14,2,14,4,1,12,13,10,8
9,09/01/2016,10,7,6,4,11,5,15,2,14,3,1,12,13,8,9
10,10/01/2016,8,6,10,4,11,5,15,2,14,3,1,9,12,7,13
11,11/01/2016,7,13,5,3,11,6,15,2,12,4,1,9,10,8,14
12,12/01/2016,11,5,8,3,7,6,12,2,13,4,1,14,15,10,9
13,13/01/2016,11,5,6,3,15,8,10,2,9,4,1,11,14,13,7
14,14/01/2016,14,7,9,3,5,6,11,2,13,4,1,14,8,10,12
15,15/01/2016,14,6,9,3,7,4,10,2,11,5,1,15,8,13,12
16,16/01/2016,14,13,12,4,6,7,9,2,10,3,1,15,5,11,8
17,17/01/2016,14,11,10,5,7,4,9,2,8,3,1,15,6,13,12
18,18/01/2016,11,9,7,3,13,5,15,2,12,4,1,14,10,8,6
19,19/01/2016,15,9,8,3,6,7,11,2,10,4,1,12,13,14,5
20,20/01/2016,15,8,5,3,7,6,9,2,12,4,1,14,10,11,13
21,21/01/2016,10,8,7,3,6,5,12,2,15,4,1,13,11,14,9
22,22/01/2016,8,9,6,3,7,5,13,2,12,4,1,9,9,15,14
23,23/01/2016,9,10,7,3,8,6,11,2,5,4,1,15,14,12,13
24,24/01/2016,8,10,5,4,11,7,6,2,15,3,1,14,13,9,12
25,25/01/2016,9,7,8,3,10,5,13,2,15,4,1,14,11,12,6
26,26/01/2016,9,14,6,3,7,5,8,2,15,4,1,11,13,12,10
27,27/01/2016,13,6,7,3,15,5,10,2,9,4,1,14,11,12,8
28,28/01/2016,13,7,6,3,10,5,15,2,8,4,1,14,12,11,9
29,29/01/2016,13,11,7,3,10,5,9,2,6,4,1,15,12,14,8
30,30/01/2016,13,7,6,3,9,5,14,2,8,4,1,11,15,12,10
31,31/01/2016,13,7,5,3,10,6,14,2,8,4,1,9,15,12,11
32,01/02/2016,10,8,7,3,6,5,11,2,12,4,1,15,13,14,9
33,02/02/2016,10,11,7,3,9,6,15,2,8,4,1,13,5,12,14
34,03/02/2016,12,8,10,3,6,5,9,2,7,4,1,15,11,14,13
35,04/02/2016,14,11,8,3,9,5,6,2,10,4,1,12,15,13,7
36,05/02/2016,15,9,7,4,12,5,10,2,8,3,1,13,14,11,6
37,06/02/2016,15,9,5,4,13,10,8,2,7,3,1,6,14,12,11
38,07/02/2016,10,14,7,3,13,5,11,2,8,4,1,12,8,6,15
39,08/02/2016,11,13,7,4,5,6,15,2,8,3,1,12,10,9,14
40,09/02/2016,12,13,7,3,6,5,14,1,10,4,2,15,8,11,9
41,10/02/2016,14,11,13,4,6,5,15,2,8,3,1,8,7,10,12
42,11/02/2016,13,8,9,3,10,5,11,1,7,4,2,14,12,15,6
43,12/02/2016,13,10,8,4,11,5,12,1,9,3,2,14,7,15,6
44,13/02/2016,13,9,7,10,12,5,5,1,8,3,2,14,11,15,4
45,14/02/2016,13,10,11,4,9,6,12,2,8,3,1,14,5,15,7
46,15/02/2016,13,7,6,3,11,5,8,1,12,4,2,14,9,15,10
47,16/02/2016,10,8,5,3,7,6,12,1,14,4,2,13,9,11,15
48,17/02/2016,14,9,7,3,8,5,10,1,6,4,2,11,12,13,14
49,18/02/2016,12,11,4,3,10,8,7,2,6,5,1,12,12,9,12
50,19/02/2016,15,11,6,4,7,5,10,1,8,2,3,14,12,12,8
51,20/02/2016,14,15,8,4,10,5,6,1,7,2,3,10,12,12,9
52,21/02/2016,15,13,8,4,9,5,7,1,6,2,3,11,13,11,10
53,22/02/2016,13,10,7,4,7,5,9,1,6,2,3,15,11,14,12
54,23/02/2016,11,10,7,4,6,5,8,1,9,3,2,11,11,14,15
