week,time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker,Carly Fiorina,Lindsey Graham,Bobby Jindal,George Pataki
1,6:00 PM ET,4,2,11,6,8,10,7,9,1,5,3,14,12,14
2,,4,2,10,6,7,10,9,8,1,5,3,14,12,15
3,6:16 PM ET,4,2,9,6,12,9,8,7,1,5,3,13,9,15
4,,4,2,10,6,8,11,7,9,1,5,3,14,12,15
5,6:32 PM ET,4,2,7,6,9,12,11,7,1,5,3,14,10,15
6,,6,2,8,5,7,12,8,10,1,4,3,15,11,14
7,6:48 PM ET,5,3,8,6,10,11,7,9,1,4,2,13,12,13
8,,5,2,8,6,7,11,9,10,1,4,3,14,12,14
9,7:04 PM ET,4,3,8,6,9,11,10,7,1,5,2,13,12,13
10,,4,3,10,6,9,11,8,6,1,5,2,14,12,15
11,7:20 PM ET,4,2,9,5,8,12,9,7,1,6,3,15,11,14
12,,4,2,9,6,10,10,7,8,1,5,3,13,12,14
13,7:36 PM ET,5,2,9,4,10,11,8,7,1,6,3,14,14,13
14,,4,2,11,6,8,10,9,7,1,5,3,13,12,15
15,7:52 PM ET,4,2,11,7,9,9,8,6,1,5,3,13,12,15
16,,4,2,9,6,11,10,8,7,1,5,3,13,12,15
17,8:08 PM ET,4,2,8,5,9,11,10,7,1,5,3,12,14,15
18,,4,2,12,5,9,11,7,7,1,6,3,14,10,15
19,8:24 PM ET,4,2,8,7,9,11,10,6,1,5,3,14,12,15
20,,4,2,10,7,9,10,8,6,1,5,3,14,12,15
21,8:40 PM ET,4,2,9,6,10,12,8,7,1,5,3,14,13,15
22,,4,2,9,7,10,11,8,6,1,4,3,14,12,14
23,8:56 PM ET,4,2,9,8,9,11,6,6,1,5,3,14,12,15
24,,4,2,10,8,9,11,6,6,1,5,3,14,12,15
25,9:12 PM ET,5,2,8,7,10,9,11,6,1,4,3,13,12,15
26,,4,3,6,8,10,11,9,7,1,5,2,13,11,15
27,9:28 PM ET,4,2,9,6,8,11,10,7,1,5,3,14,12,13
28,,4,2,10,7,8,12,9,5,1,6,3,14,11,14
29,9:44 PM ET,4,2,9,7,11,9,8,5,1,6,3,12,13,15
30,,5,2,11,6,8,10,9,3,1,7,4,13,14,15
