week,time,Immigration,Economy,Same-Sex Marriage,Health Care,Taxes,Abortion,Minimum Wage,Iran Nuclear Deal,ISIS,Marijuana Legality
1,6:00 PM ET,3,5,8,2,1,7,6,10,4,9
2,,3,5,8,2,1,7,6,10,4,9
3,6:16 PM ET,4,5,8,2,1,7,6,9,3,9
4,,4,6,8,3,1,7,5,10,2,9
5,6:32 PM ET,3,5,8,4,1,7,6,10,2,9
6,,3,5,8,4,1,7,6,10,2,9
7,6:48 PM ET,4,5,8,3,1,7,6,9,2,10
8,,3,5,7,2,1,8,6,9,4,10
9,7:04 PM ET,2,6,8,3,1,7,5,9,4,10
10,,4,6,8,3,1,7,2,9,5,10
11,7:20 PM ET,3,6,8,5,1,7,2,9,4,10
12,,4,6,8,3,1,7,5,9,2,10
13,7:36 PM ET,4,5,8,2,1,6,7,9,3,10
14,,3,6,8,4,1,7,5,9,2,10
15,7:52 PM ET,4,6,8,3,1,7,5,10,2,9
16,,2,5,8,3,1,7,6,9,4,10
17,8:08 PM ET,2,4,8,3,1,7,6,9,5,10
18,,2,5,8,3,1,7,6,9,4,10
19,8:24 PM ET,2,5,8,3,1,6,7,9,4,10
20,,3,5,8,4,1,6,9,7,2,10
21,8:40 PM ET,4,8,7,5,1,6,9,2,3,10
22,,5,8,4,6,1,3,9,7,2,10
23,8:56 PM ET,3,7,6,4,2,1,8,9,5,10
24,,3,6,8,4,2,1,7,9,5,10
25,9:12 PM ET,2,5,8,4,1,3,7,9,6,10
26,,1,6,8,4,2,3,7,9,5,10
27,9:28 PM ET,2,7,8,4,1,3,6,9,5,10
28,,3,7,8,5,1,4,2,9,6,10
29,9:44 PM ET,3,7,8,6,1,5,2,9,4,10
30,,3,7,8,5,1,4,6,9,2,10
31,10:00 PM ET,3,7,8,5,2,4,6,9,1,10
31,,3,7,8,5,2,4,6,9,1,10
31,10:16 PM ET,4,8,3,6,1,5,7,9,2,9
