week,time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker
1,8:00 PM ET,4,2,9,5,7,11,10,8,1,5
2,8:08 PM ET,3,2,7,6,9,10,8,10,1,5
3,8:16 PM ET,4,2,7,5,7,9,10,10,1,6
4,8:24 PM ET,4,2,6,7,9,10,8,11,1,5
5,8:32 PM ET,4,2,9,5,7,10,7,11,1,6
6,8:40 PM ET,4,2,7,5,8,11,8,8,1,6
7,8:48 PM ET,4,2,10,5,7,11,8,8,1,6
8,8:56 PM ET,4,2,9,6,5,10,8,11,1,6
9,9:04 PM ET,4,2,7,6,8,11,9,9,1,5
10,9:12 PM ET,4,2,9,5,7,10,7,11,1,6
11,9:20 PM ET,5,2,10,4,6,11,8,9,1,7
12,9:28 PM ET,5,2,9,3,6,11,10,8,1,7
13,9:36 PM ET,4,2,6,5,8,8,11,10,1,7
14,9:44 PM ET,4,2,11,5,6,9,8,10,1,6
15,9:52 PM ET,3,2,5,5,7,11,7,10,1,7
