week,time,Edie Falco,Lisa Kudrow,Julia Louis-Dreyfus,Amy Poehler,Amy Schumer,Lily Tomlin,Claire Danes,Viola Davis,Taraji P. Henson,Tatiana Maslany,Elisabeth Moss,Robin Wright,Allison Janney,Regina King,Frances McDormand,Uzo Aduba
1,8:00 PM ET,14,14,6,3,1,12,5,9,4,8,13,10,2,10,16,7
2,8:08 PM ET,15,13,5,3,1,9,7,10,6,8,14,12,2,11,16,4
3,8:16 PM ET,9,15,3,4,2,12,7,8,5,6,14,12,1,11,16,10
4,8:24 PM ET,16,9,2,4,1,13,6,10,5,7,11,11,3,8,15,14
5,8:32 PM ET,15,10,2,4,1,8,9,11,5,7,14,15,3,6,12,13
6,8:40 PM ET,14,7,1,2,3,11,8,13,6,10,16,12,4,5,9,15
7,8:48 PM ET,12,7,1,2,3,8,11,13,5,10,16,15,6,4,9,13
8,8:56 PM ET,13,9,1,4,3,11,8,12,6,9,16,14,5,2,7,15
9,9:04 PM ET,15,12,3,6,5,10,9,11,4,8,15,14,7,1,2,13
10,9:12 PM ET,15,13,3,6,4,11,9,10,5,8,16,14,7,1,2,12
11,9:20 PM ET,16,12,3,6,4,11,9,10,5,8,14,15,7,1,2,13
12,9:28 PM ET,16,15,4,6,3,12,9,10,8,5,14,12,7,2,1,11
13,9:36 PM ET,16,13,4,5,2,12,9,10,7,8,15,14,6,3,1,11
14,9:44 PM ET,15,13,4,5,1,13,9,11,7,8,16,12,6,3,2,10
15,9:52 PM ET,16,13,4,5,1,13,11,10,6,9,15,12,7,2,3,8
16,10:00 PM ET,14,16,3,5,1,12,11,10,8,9,14,12,7,2,4,6
17,10:08 PM ET,16,14,5,6,2,12,11,1,8,10,12,15,8,4,7,3
18,10:16 PM ET,16,15,5,7,2,13,11,3,6,9,14,12,10,4,8,1
19,10:24 PM ET,16,14,7,6,3,15,11,2,5,8,13,12,10,4,9,1
20,10:32 PM ET,16,14,6,8,4,14,11,1,2,7,13,12,10,5,9,3
21,10:40 PM ET,16,15,11,9,3,14,8,1,2,4,9,7,13,6,12,5
22,10:48 PM ET,16,15,8,7,2,14,10,1,4,5,11,12,9,5,12,3
