week,time,Modern Family,Veep,Louie,Unbreakable Kimmy Schmidt,Silicon Valley,Parks and Recreation,Transparent
1,8:00 PM ET,1,2,7,6,5,3,4
2,8:08 PM ET,3,1,7,5,6,4,2
3,8:16 PM ET,3,1,7,5,6,4,2
4,8:24 PM ET,3,1,7,4,6,5,2
5,8:32 PM ET,4,2,7,3,6,5,1
6,8:40 PM ET,4,2,6,5,7,3,1
7,8:48 PM ET,4,1,7,5,6,3,2
8,8:56 PM ET,3,1,7,5,6,4,2
9,9:04 PM ET,4,2,7,5,6,3,1
10,9:12 PM ET,3,2,7,5,6,4,1
11,9:20 PM ET,4,2,7,5,6,3,1
12,9:28 PM ET,3,2,7,5,6,4,1
13,9:36 PM ET,4,3,7,5,6,2,1
14,9:44 PM ET,2,3,7,5,6,4,1
15,9:52 PM ET,1,3,7,5,6,4,2
16,10:00 PM ET,3,2,7,5,6,4,1
17,10:08 PM ET,2,3,7,5,6,4,1
18,10:16 PM ET,3,2,7,5,6,4,1
19,10:24 PM ET,2,1,7,5,6,3,4
20,10:32 PM ET,3,1,7,5,6,2,4
21,10:40 PM ET,2,1,7,5,6,3,4
22,10:48 PM ET,2,1,7,5,6,4,3
23,10:56 PM ET,2,1,7,5,6,3,4
24,11:04 PM ET,1,2,7,6,5,4,3
