week,time,Better Call Saul,Downton Abbey,Game of Thrones,Homeland,House of Cards,Mad Men,Orange is the New Black
1,8:00 PM ET,7,4,1,2,5,6,3
2,8:08 PM ET,7,4,1,2,5,6,3
3,8:16 PM ET,7,4,1,3,5,6,2
4,8:24 PM ET,7,4,1,2,5,6,3
5,8:32 PM ET,7,4,1,2,5,6,3
6,8:40 PM ET,7,4,1,2,5,6,2
7,8:48 PM ET,7,4,1,2,5,6,3
8,8:56 PM ET,7,4,1,2,5,6,3
9,9:04 PM ET,7,4,1,2,5,6,3
10,9:12 PM ET,7,4,1,3,5,6,2
11,9:20 PM ET,7,4,1,2,5,6,3
12,9:28 PM ET,7,4,1,3,5,6,2
13,9:36 PM ET,7,4,1,3,5,6,2
14,9:44 PM ET,7,5,1,3,4,6,2
15,9:52 PM ET,7,4,1,3,5,6,2
16,10:00 PM ET,7,4,1,2,5,6,3
17,10:08 PM ET,7,4,1,3,5,6,2
18,10:16 PM ET,7,4,1,3,5,6,2
19,10:24 PM ET,7,5,1,3,4,6,2
20,10:32 PM ET,7,3,1,4,6,5,2
21,10:40 PM ET,7,4,1,3,5,6,2
22,10:48 PM ET,7,4,1,3,6,5,2
23,10:56 PM ET,7,4,1,3,6,5,2
