week,time,Immigration,Economy,Same-Sex Marriage,Health Care,Taxes,Abortion,Gun Control,Black Lives Matter,Clinton's Emails,War in Iraq,Wall Street,Patriot Act
1,8:40 PM ET,3,4,7,2,1,5,6,10,8,10,9,12
2,8:48 PM ET,3,4,7,2,1,5,6,11,9,8,10,12
3,8:56 PM ET,3,4,7,2,1,5,6,11,8,10,9,12
4,9:04 PM ET,3,4,7,2,1,5,6,11,8,10,9,12
5,9:12 PM ET,3,6,7,4,1,5,2,11,8,9,10,12
6,9:20 PM ET,4,6,9,3,1,7,2,11,8,5,10,12
7,9:28 PM ET,3,4,9,2,1,5,8,10,6,7,11,12
8,9:36 PM ET,4,6,9,2,1,5,7,8,3,10,11,12
9,9:44 PM ET,4,5,10,3,2,6,7,8,1,11,9,12
10,9:52 PM ET,6,3,10,5,1,7,9,2,4,12,8,11
11,10:00 PM ET,5,4,11,3,1,6,8,7,9,12,2,10
12,10:08 PM ET,3,6,11,2,1,7,8,9,10,12,4,5
13,10:16 PM ET,3,6,11,4,2,5,8,8,7,12,10,1
14,10:24 PM ET,6,10,10,3,2,3,7,5,7,10,7,1
