week,time,Immigration,Economy,Same-Sex Marriage,Taxes,Minimum Wage,Marijuana Legality,Climate Change,Social Security,Debt Ceiling,Medicare,Wall Street,Gender Pay Gap,Super-PACs,Student Loans
1,6:00 PM ET,3,5,7,1,4,11,8,12,10,2,9,14,13,6
2,,3,4,8,1,5,13,7,11,10,2,8,14,12,6
3,6:16 PM ET,3,4,8,1,5,10,7,13,11,2,9,14,12,6
4,,3,5,8,1,4,10,7,11,12,2,9,14,13,6
5,6:32 PM ET,3,4,8,1,5,11,7,10,13,2,9,14,12,6
6,,3,4,8,1,5,9,7,11,13,2,10,14,12,6
7,6:48 PM ET,3,4,8,1,5,10,7,13,11,2,9,14,12,6
8,,3,4,8,1,5,10,7,12,11,2,9,14,13,6
9,7:04 PM ET,3,4,7,1,5,9,8,11,12,2,10,13,14,6
10,,2,4,8,1,5,9,7,13,12,3,10,14,11,6
11,7:20 PM ET,3,4,8,1,5,9,7,11,13,2,10,14,12,6
12,,3,4,7,1,5,9,8,13,11,2,10,14,12,6
13,7:36 PM ET,3,4,8,1,5,9,7,11,13,2,10,14,12,6
14,,3,4,8,1,5,10,7,12,13,2,9,14,11,6
15,7:52 PM ET,2,4,7,1,5,9,8,10,13,3,10,14,12,6
16,,2,4,7,1,5,10,8,12,11,3,9,14,13,6
17,8:08 PM ET,3,4,7,1,5,10,8,12,13,2,9,14,11,6
18,,2,4,7,1,5,11,8,10,14,3,9,13,12,6
19,8:24 PM ET,2,4,7,1,5,11,8,9,12,3,10,14,13,6
20,,2,4,7,1,5,10,9,8,12,3,11,14,13,6
21,8:40 PM ET,2,4,7,1,5,10,9,8,12,3,11,14,13,6
22,,3,5,8,1,6,12,10,2,9,4,11,14,13,7
23,8:56 PM ET,2,5,9,1,6,12,11,4,13,3,10,14,8,7
24,,2,3,9,1,5,12,11,10,13,4,8,13,7,6
25,9:12 PM ET,3,4,8,1,6,13,11,10,14,5,12,9,2,7
26,,3,5,8,2,6,12,10,9,14,4,11,13,1,7
27,9:28 PM ET,3,4,8,2,6,12,9,11,13,5,10,14,1,7
28,,3,4,8,1,6,9,11,10,14,5,12,13,2,7
29,9:44 PM ET,2,5,8,1,6,11,9,10,13,4,12,14,3,7
30,,2,4,8,1,7,12,9,10,13,3,10,14,6,5
31,10:00 PM ET,3,5,9,1,6,12,10,7,13,2,11,14,4,8
32,,3,4,10,1,5,13,11,7,9,2,12,14,6,8
33,10:16 PM ET,2,6,8,1,5,10,9,11,13,3,11,14,4,7
34,,3,6,9,1,7,10,8,11,11,2,13,13,4,5
