week,time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Carly Fiorina
1,8:00 PM ET,3,2,6,5,9,10,8,4,1,7
2,8:08 PM ET,3,2,6,4,10,9,8,5,1,7
3,8:16 PM ET,3,2,6,4,10,9,8,5,1,7
4,8:24 PM ET,3,2,7,5,10,9,8,4,1,6
5,8:32 PM ET,3,2,6,4,10,9,6,5,1,8
6,8:40 PM ET,3,2,6,5,10,9,7,4,1,8
7,8:48 PM ET,3,2,5,5,9,10,8,4,1,7
8,8:56 PM ET,4,2,3,6,10,9,8,5,1,7
9,9:04 PM ET,3,2,6,4,10,8,9,5,1,7
10,9:12 PM ET,3,2,6,4,10,9,8,5,1,7
11,9:20 PM ET,3,2,6,4,10,7,9,5,1,8
12,9:28 PM ET,3,2,6,4,10,9,7,5,1,8
13,9:36 PM ET,3,2,6,5,10,9,6,4,1,8
14,9:44 PM ET,3,2,7,5,10,9,6,4,1,8
15,9:52 PM ET,3,2,7,5,9,10,6,4,1,8
16,10:00 PM ET,3,2,8,5,10,9,6,4,1,7
17,10:08 PM ET,3,1,6,4,10,9,7,5,2,8
18,10:16 PM ET,3,2,6,5,9,10,8,4,1,7
19,10:24 PM ET,3,2,6,5,10,9,7,4,1,8
20,10:32 PM ET,3,2,6,5,9,9,8,4,1,7
21,10:40 PM ET,3,2,6,4,10,9,8,5,1,7
22,10:48 PM ET,3,2,7,4,10,9,8,5,1,6
23,10:56 PM ET,3,2,6,4,10,9,8,5,1,7
24,11:04 PM ET,3,2,6,4,10,9,7,5,1,8
25,11:12 PM ET,3,2,6,5,9,10,8,4,1,7
26,11:20 PM ET,3,2,5,6,10,9,8,4,1,7
27,11:28 PM ET,3,2,8,5,10,4,7,6,1,9
28,11:36 PM ET,3,2,4,6,10,8,9,5,1,7
29,11:44 PM ET,3,2,6,5,10,9,7,4,1,8
30,11:52 PM ET,3,2,6,5,10,9,7,4,1,8
