week,time,Jeb Bush,Ben Carson,Ted Cruz,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Carly Fiorina,Bobby Jindal,Chris Christie,Mike Huckabee,Rick Santorum
1,7:00 PM ET,9,2,8,12,11,4,1,10,6,3,6,5
2,,6,1,9,12,11,7,2,10,3,4,8,5
3,7:16 PM ET,9,2,7,12,11,8,1,10,3,4,5,6
4,,6,2,9,12,10,8,1,11,5,4,7,3
5,7:32 PM ET,8,2,6,12,11,6,1,10,3,4,9,5
6,,8,2,10,12,11,6,1,9,5,4,7,3
7,7:48 PM ET,8,2,8,12,11,7,1,10,3,4,6,4
8,,8,2,9,12,10,7,1,11,5,4,6,3
9,8:04 PM ET,8,3,9,12,11,7,2,10,4,5,6,1
10,,8,2,9,12,10,7,1,11,5,4,6,3
11,8:20 PM ET,7,1,9,12,10,4,2,11,5,6,8,3
12,,9,1,7,12,10,4,2,11,3,5,6,8
13,8:36 PM ET,4,1,7,11,11,3,2,9,5,6,10,8
14,,5,1,7,9,10,4,2,8,3,6,11,12
15,8:52 PM ET,6,1,4,7,10,3,2,8,9,5,11,12
16,,8,1,5,4,9,3,2,7,10,6,11,12
17,9:08 PM ET,7,2,5,1,8,3,4,6,10,9,11,12
18,,4,3,2,6,8,7,5,1,10,9,11,12
19,9:24 PM ET,8,1,6,7,3,5,2,4,11,9,10,12
20,,7,2,5,4,8,3,1,6,10,9,11,11
21,9:40 PM ET,8,5,2,6,7,3,4,1,11,9,10,12
22,,8,1,4,7,5,6,2,3,11,9,10,12
23,9:56 PM ET,5,4,1,8,6,2,3,7,11,9,10,12
24,,8,5,2,7,6,3,1,4,11,9,10,12
25,10:12 PM ET,8,2,4,6,3,5,1,7,12,9,10,11
26,,3,1,6,8,7,5,2,4,10,9,11,12
27,10:28 PM ET,8,4,7,3,6,1,2,5,11,9,10,12
28,,6,2,5,1,7,4,3,8,11,9,10,12
29,10:44 PM ET,7,2,1,4,8,3,5,6,11,9,10,11
30,,8,5,6,1,7,4,2,3,11,9,10,12
31,11:00 PM ET,8,3,4,6,5,2,1,7,11,9,10,12
32,,8,4,3,1,7,2,5,6,11,9,10,12
33,11:16 PM ET,7,2,4,6,8,1,3,5,11,9,10,12
34,,8,1,4,7,5,2,3,6,11,9,10,12
