week,time,Immigration,Economy,ObamaCare,Taxes,Foreign Policy,Minimum Wage,TPP,Income Inequality,Big Banks
1,7:00 PM ET,3,4,5,1,7,2,6,8,9
2,,3,4,5,1,7,2,6,8,9
3,7:16 PM ET,2,5,4,1,8,3,6,7,9
4,,2,5,4,1,7,3,6,8,9
5,7:32 PM ET,4,5,2,1,7,3,6,8,9
6,,2,4,5,1,7,3,6,8,9
7,7:48 PM ET,2,5,4,1,7,3,6,8,9
8,,2,5,4,1,7,3,6,8,9
9,8:04 PM ET,3,4,5,1,7,2,6,8,9
10,,2,5,4,1,7,3,6,8,9
11,8:20 PM ET,2,4,5,1,7,3,6,8,9
12,,2,4,5,1,8,3,6,7,9
13,8:36 PM ET,2,4,5,1,7,3,6,8,9
14,,2,5,4,1,7,3,6,8,9
15,8:52 PM ET,3,4,5,1,7,2,6,8,9
16,,3,5,4,1,8,2,7,6,9
17,9:08 PM ET,3,4,5,2,7,1,8,6,9
18,,3,4,5,1,8,2,7,6,9
19,9:24 PM ET,2,5,5,1,8,4,7,3,9
20,,1,5,3,2,8,4,6,7,9
21,9:40 PM ET,3,5,1,2,8,4,6,7,9
22,,3,5,2,1,8,4,6,7,9
23,9:56 PM ET,2,6,5,1,8,3,4,7,9
24,,5,6,4,1,8,3,2,7,9
25,10:12 PM ET,3,6,5,2,8,4,1,7,9
26,,2,5,6,1,8,4,3,7,9
27,10:28 PM ET,3,5,6,1,7,4,2,8,9
28,,3,5,6,1,8,4,2,7,9
29,10:44 PM ET,3,2,5,1,8,4,6,9,7
30,,2,5,4,1,8,3,6,7,9
31,11:00 PM ET,2,5,4,1,8,3,6,7,9
32,,3,5,4,1,7,2,6,8,9
33,11:16 PM ET,3,5,4,1,8,2,6,7,9
34,,5,2,4,1,8,3,6,7,9
