week,time,Immigration,Health Care,Gun Control,War in Iraq,Wall Street,Campaign Finance,Climate Change,Paris,Terrorism,ISIS,Refugees,Minimum Wage,Glass-Steagall Act,Black Lives Matter,Student Debt
1,9:00 PM ET,9,10,8,5,12,12,4,2,3,1,7,6,12,10,12
2,9:08 PM ET,10,11,7,5,11,14,4,2,3,1,6,7,9,11,14
3,9:16 PM ET,8,12,9,6,13,14,4,2,3,1,7,5,10,10,15
4,9:24 PM ET,8,12,9,9,12,14,5,2,3,1,6,4,7,11,15
5,9:32 PM ET,7,11,9,12,10,15,5,1,3,2,8,4,6,12,14
6,9:40 PM ET,6,10,10,12,9,15,6,1,5,3,8,2,4,13,14
7,9:48 PM ET,5,11,9,13,7,12,7,3,6,4,10,1,2,15,14
8,9:56 PM ET,8,10,9,11,5,13,7,3,6,4,11,2,1,13,13
9,10:04 PM ET,11,13,7,14,2,10,6,3,5,4,9,8,1,12,15
10,10:12 PM ET,8,12,5,13,2,13,5,3,7,4,10,9,1,11,15
11,10:20 PM ET,9,14,8,12,4,13,6,1,5,3,9,7,2,11,15
12,10:28 PM ET,10,9,8,13,6,14,4,1,3,2,12,11,7,5,15
13,10:36 PM ET,9,5,7,13,7,14,4,1,3,2,10,11,6,11,14
14,10:44 PM ET,8,6,9,12,6,14,5,1,3,2,12,10,3,11,15
15,10:52 PM ET,3,9,6,14,6,13,2,1,3,3,11,9,8,11,14
