week,time,Donald Trump,Ben Carson,Ted Cruz,Marco Rubio,Jeb Bush,Carly Fiorina,Chris Christie,John Kasich,Rand Paul,Mike Huckabee,Rick Santorum,Lindsey Graham,George Pataki
1,5:56 PM ET,1,3,2,4,5,6,8,10,7,11,13,9,12
2,6:04 PM ET,1,4,2,3,5,8,7,8,6,8,11,13,11
3,6:12 PM ET,1,4,2,3,5,8,7,10,6,9,11,12,13
4,6:20 PM ET,1,4,2,3,5,7,8,10,6,8,12,10,13
5,6:28 PM ET,1,4,2,3,5,8,7,9,6,9,11,11,13
6,6:36 PM ET,1,3,2,4,5,8,7,9,6,11,12,9,13
7,6:44 PM ET,1,4,2,3,5,8,6,10,7,9,12,11,13
8,6:52 PM ET,1,4,2,3,5,9,7,8,6,9,11,11,13
9,7:00 PM ET,1,4,2,3,5,9,7,8,6,10,12,11,13
10,7:08 PM ET,1,4,2,3,5,7,8,10,6,11,11,9,13
11,7:16 PM ET,1,4,2,3,5,8,7,9,6,10,11,12,13
12,7:24 PM ET,1,4,2,3,5,7,9,8,6,10,12,10,13
13,7:32 PM ET,1,4,2,3,5,8,6,9,7,10,12,11,13
14,7:40 PM ET,1,5,3,4,2,9,7,8,6,10,12,11,13
15,7:48 PM ET,1,4,2,3,5,7,8,9,6,9,12,11,13
16,7:56 PM ET,1,4,2,3,5,7,7,7,6,10,12,11,13
