week,time,Immigration,Foreign Policy,Refugees,Syria,ISIS,Russia,Kurds,Internet,Hillary Clinton,Donald Trump,Barack Obama
1,6:36 PM ET,6,10,8,7,2,5,11,9,4,1,3
2,6:44 PM ET,5,10,8,7,2,4,11,9,6,1,3
3,6:52 PM ET,5,10,8,7,2,4,11,9,6,1,3
4,7:00 PM ET,5,10,8,7,2,4,11,9,6,1,3
5,7:08 PM ET,7,11,8,5,2,4,10,9,6,1,3
6,7:16 PM ET,5,10,8,6,2,4,11,9,7,1,3
7,7:24 PM ET,6,10,8,7,2,4,11,9,5,1,3
8,7:32 PM ET,5,11,8,7,2,4,10,9,6,1,3
9,7:40 PM ET,5,10,8,7,2,4,11,9,5,1,3
10,7:48 PM ET,5,10,8,7,2,4,11,9,6,1,3
11,7:56 PM ET,5,10,8,6,2,4,11,9,7,1,3
12,8:04 PM ET,5,10,8,7,2,4,11,9,6,1,3
13,8:12 PM ET,6,10,8,7,2,4,11,9,5,1,3
14,8:20 PM ET,6,10,8,7,2,4,11,9,5,1,3
15,8:28 PM ET,6,10,8,7,2,4,11,9,5,1,3
16,8:36 PM ET,6,9,8,7,2,4,11,10,5,1,3
17,8:44 PM ET,6,11,8,7,2,4,10,9,5,1,3
18,8:52 PM ET,6,11,8,7,2,4,9,10,5,1,3
19,9:00 PM ET,7,11,9,8,2,5,3,10,6,1,4
20,9:08 PM ET,6,11,8,7,2,4,10,9,5,1,3
21,9:16 PM ET,6,11,8,7,2,4,10,9,5,1,3
22,9:24 PM ET,6,11,10,7,2,4,9,8,5,1,3
23,9:32 PM ET,7,11,9,6,2,4,10,8,5,1,3
24,9:40 PM ET,7,11,9,6,2,4,10,8,5,1,3
25,9:48 PM ET,7,11,10,5,1,4,8,9,6,2,3
