week,time,Donald Trump,Ben Carson,Ted Cruz,Marco Rubio,Jeb Bush,Carly Fiorina,Chris Christie,John Kasich,Rand Paul
1,8:36 PM ET,1,6,2,3,5,4,7,9,8
2,8:44 PM ET,1,7,3,5,2,4,9,6,8
3,8:52 PM ET,4,5,2,3,6,1,7,9,8
4,9:00 PM ET,1,6,2,3,4,5,7,9,8
5,9:08 PM ET,3,6,1,2,8,4,5,7,9
6,9:16 PM ET,2,4,3,1,7,8,6,9,5
7,9:24 PM ET,1,6,3,4,5,2,8,7,9
8,9:32 PM ET,2,5,3,1,4,6,8,9,7
9,9:40 PM ET,1,2,5,3,6,7,9,8,4
10,9:48 PM ET,1,4,5,2,8,3,6,9,7
11,9:56 PM ET,1,5,2,3,7,4,9,8,6
12,10:04 PM ET,1,4,3,5,6,7,9,8,2
13,10:12 PM ET,1,8,4,5,6,7,2,9,3
14,10:20 PM ET,3,4,2,1,5,7,9,8,6
15,10:28 PM ET,1,4,2,3,6,7,8,9,5
16,10:36 PM ET,1,6,2,4,9,3,5,7,8
17,10:44 PM ET,1,5,2,3,4,7,6,9,8
18,10:52 PM ET,1,4,2,3,6,5,8,9,7
19,11:00 PM ET,1,5,2,3,6,4,7,9,8
20,11:08 PM ET,1,4,2,3,6,7,8,9,5
