week,time,Immigration,Foreign Policy,Refugees,Syria,ISIS,Russia,Kurds,Internet,China
1,7:56 PM ET,5,8,7,6,2,4,9,1,3
2,8:04 PM ET,5,9,7,6,2,3,8,1,4
3,8:12 PM ET,6,8,7,5,2,4,8,1,3
4,8:20 PM ET,5,8,7,5,2,3,9,1,4
5,8:28 PM ET,5,9,7,6,2,4,8,1,3
6,8:36 PM ET,6,9,7,5,2,4,8,1,3
7,8:44 PM ET,5,9,7,6,1,4,8,2,3
8,8:52 PM ET,6,8,7,5,2,4,9,1,3
9,9:00 PM ET,6,9,7,5,1,4,8,2,3
10,9:08 PM ET,5,9,7,6,2,3,8,1,4
11,9:16 PM ET,6,9,7,5,2,4,8,1,3
12,9:24 PM ET,5,9,7,5,2,4,8,1,3
13,9:32 PM ET,5,9,7,6,2,4,8,1,3
14,9:40 PM ET,6,9,7,5,1,3,8,2,4
15,9:48 PM ET,6,9,7,5,2,4,8,1,3
16,9:56 PM ET,6,8,7,5,2,3,8,1,4
