week,time,Beyonce,Ed Sheeran,Taylor Swift,Kendrick Lamar,Mark Ronson,Bruno Mars,The Weeknd,Nick Jonas,Nicki Minaj,Sia,Ellie Goulding
1,8:00 PM ET,2,4,1,7,11,5,9,7,3,6,10
2,8:08 PM ET,3,4,1,7,11,6,9,8,2,5,10
3,8:16 PM ET,3,4,2,7,11,6,9,8,1,5,10
4,8:24 PM ET,3,5,1,6,11,7,9,8,2,4,10
5,8:32 PM ET,3,4,1,7,11,6,9,8,2,5,10
6,8:40 PM ET,3,4,1,8,11,6,9,7,2,5,10
7,8:48 PM ET,2,4,1,7,11,6,9,8,3,5,10
8,8:56 PM ET,2,4,1,6,11,7,9,8,3,5,10
9,9:04 PM ET,2,4,1,7,11,6,9,8,3,5,10
10,9:12 PM ET,2,4,1,7,11,6,9,8,3,5,10
11,9:20 PM ET,2,3,1,7,11,6,9,8,5,4,10
12,9:28 PM ET,3,2,1,7,10,6,9,8,4,5,11
13,9:36 PM ET,3,2,1,7,11,6,8,9,4,5,10
14,9:44 PM ET,2,4,1,7,11,6,8,9,3,5,10
15,9:52 PM ET,2,1,3,7,11,6,8,9,4,5,10
16,10:00 PM ET,2,1,3,7,10,6,8,9,4,5,11
17,10:08 PM ET,3,1,2,10,11,8,7,6,4,5,9
18,10:16 PM ET,3,1,2,9,11,8,7,5,4,6,10
19,10:24 PM ET,3,1,2,9,11,8,4,6,5,7,10
20,10:32 PM ET,5,3,2,9,11,8,1,4,6,7,10
21,10:40 PM ET,3,2,1,10,11,8,5,7,4,6,9
22,10:48 PM ET,3,2,1,9,11,8,6,7,4,5,10
23,10:56 PM ET,3,1,2,7,11,8,6,9,4,5,10
