week,time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker,Carly Fiorina,Lindsey Graham,Bobby Jindal,George Pataki
1,6:00 PM ET,6,2,8,7,4,11,8,11,1,3,4,14,8,14
2,,4,2,8,5,13,7,8,8,1,5,3,14,11,14
3,,4,2,8,6,10,10,7,10,1,3,4,10,10,15
4,,6,2,8,6,4,11,5,12,1,8,3,14,8,14
5,,3,2,8,5,9,12,6,9,1,4,7,15,14,12
6,,4,2,9,9,7,9,6,9,1,5,3,15,9,8
7,,4,2,10,8,13,7,8,5,1,5,3,15,10,14
8,,4,2,9,8,6,13,10,5,1,7,3,15,12,14
9,,3,2,6,5,8,8,8,8,1,6,4,15,8,14
10,,4,3,13,7,8,4,12,11,1,6,2,8,13,13
11,6:10 PM ET,6,2,12,8,4,12,9,6,1,4,3,9,9,14
12,,4,2,10,5,7,10,8,9,1,10,3,13,6,13
13,,8,2,5,5,5,8,8,8,1,4,3,12,12,12
14,,4,2,12,6,8,8,4,6,1,8,3,14,12,14
15,,6,2,5,11,11,9,6,8,1,4,3,11,11,11
16,,5,2,9,3,5,11,11,8,1,4,5,14,9,14
17,,5,2,7,3,11,9,10,4,1,8,6,11,11,11
18,,6,2,15,5,6,6,13,6,1,4,3,11,10,12
19,,3,2,13,6,13,13,7,7,1,3,3,10,7,11
20,,5,2,10,5,14,11,11,7,1,3,3,9,7,15
21,6:20 PM ET,4,2,7,6,13,9,9,9,1,5,3,7,9,15
22,,4,2,13,5,7,10,7,10,1,3,5,10,9,15
23,,7,2,10,4,10,13,8,6,1,4,3,12,9,15
24,,3,2,10,5,12,12,6,6,1,6,3,10,6,15
25,,4,3,10,6,10,9,6,10,1,4,2,10,6,15
26,,3,3,6,11,6,11,6,6,1,5,2,14,10,15
27,,6,2,12,4,4,9,7,8,1,9,3,14,11,15
28,,3,2,10,5,7,9,7,12,1,5,4,12,11,12
29,,3,2,8,4,10,6,15,10,1,7,4,13,10,14
30,,12,3,12,4,8,8,6,6,1,4,2,11,12,15
31,6:30 PM ET,4,2,6,7,12,12,5,7,1,10,3,7,11,15
32,,6,2,9,9,7,8,9,5,1,3,3,13,9,15
33,,4,2,7,6,14,9,9,11,1,4,3,12,7,15
34,,5,2,7,4,8,8,8,8,1,5,3,13,12,15
35,,4,2,10,10,5,9,10,7,1,6,3,15,10,10
36,,6,2,6,11,6,11,10,4,1,4,3,15,6,14
37,,6,2,6,13,13,10,4,9,1,4,3,13,6,11
38,,4,2,15,10,7,6,10,10,1,4,3,10,7,9
39,,4,2,13,5,7,10,12,7,1,6,3,13,7,10
40,,4,2,8,6,6,10,10,8,1,5,3,10,10,10
41,6:40 PM ET,7,2,8,4,10,10,4,8,1,4,3,15,10,10
42,,5,2,10,4,10,8,6,10,1,3,6,15,10,9
43,,5,2,11,5,4,8,8,11,1,7,3,11,11,10
44,,6,2,8,5,13,12,8,7,1,4,3,15,13,8
45,,6,2,6,9,4,10,4,8,1,10,3,15,12,13
46,,7,2,5,7,4,14,14,5,1,3,7,13,10,11
47,,6,2,6,4,9,12,12,8,1,4,3,12,12,10
48,,6,3,9,4,9,9,9,6,1,5,2,9,8,9
49,,5,3,4,5,11,9,9,5,1,5,2,13,14,11
50,,5,3,7,6,12,8,9,12,1,4,2,10,12,10
51,6:50 PM ET,5,2,11,7,10,7,6,7,1,4,3,11,11,11
52,,4,3,10,5,6,9,10,7,1,7,2,13,12,14
53,,5,2,10,4,10,10,6,8,1,7,3,13,9,14
54,,6,3,10,5,6,14,10,6,1,4,2,10,6,10
55,,6,2,9,7,8,12,4,9,1,4,3,12,12,11
56,,5,2,6,14,9,6,10,10,1,4,3,10,6,14
57,,4,2,9,6,9,12,9,7,1,5,3,14,8,15
58,,6,2,11,6,13,10,6,5,1,4,3,13,6,13
59,,6,2,8,4,8,10,6,12,1,5,3,11,14,12
60,,6,2,10,4,7,7,11,7,1,5,3,12,14,13
61,7:00 PM ET,6,3,8,4,8,14,8,7,1,4,2,12,8,14
62,,4,2,8,8,6,12,8,7,1,5,3,8,12,12
63,,5,2,10,4,7,10,10,10,1,5,3,10,9,8
64,,4,2,6,8,12,7,14,9,1,5,3,14,11,10
65,,4,2,8,7,10,14,10,6,1,5,3,10,10,8
66,,4,2,8,6,8,13,10,5,1,7,3,13,10,12
67,,3,2,6,6,8,12,8,8,1,4,5,14,11,12
68,,4,2,5,7,9,9,11,7,1,5,3,11,11,11
69,,4,3,8,5,7,11,10,6,1,8,2,12,13,14
70,,4,3,7,10,7,10,9,5,1,6,2,10,14,14
71,7:10 PM ET,5,3,11,4,11,11,7,7,1,6,2,11,9,9
72,,5,3,7,6,9,7,9,11,1,4,2,11,11,11
73,,5,3,8,4,7,11,9,11,1,6,2,15,11,10
74,,4,3,8,4,11,11,10,4,1,7,2,15,9,14
75,,4,3,12,8,6,12,8,7,1,5,2,12,12,10
76,,4,3,11,7,5,8,11,5,1,8,2,11,10,11
77,,3,2,12,7,11,9,12,9,1,5,4,12,8,15
78,,4,3,13,7,10,10,6,8,1,5,2,13,9,15
79,,3,2,10,6,9,10,7,7,1,5,4,14,13,15
80,,4,2,6,5,11,11,7,7,1,11,3,11,10,15
81,7:20 PM ET,5,2,13,4,10,13,7,6,1,7,3,12,9,13
82,,4,3,11,7,10,7,11,4,1,6,2,15,7,13
83,,4,2,5,9,8,5,11,9,1,5,3,15,12,12
84,,5,2,5,4,5,12,5,5,1,5,2,15,12,11
85,,5,2,8,4,6,15,9,6,1,9,3,13,13,12
86,,3,4,7,5,7,15,7,5,1,7,2,14,11,13
87,,4,2,10,6,5,15,8,10,1,6,3,10,9,10
88,,3,2,11,6,7,12,8,8,1,5,3,15,8,13
89,,5,3,9,8,14,9,7,4,1,5,2,12,9,12
90,,5,3,6,6,13,10,6,10,1,4,2,9,13,12
91,7:30 PM ET,4,2,7,8,11,11,5,11,1,5,3,10,9,14
92,,4,3,13,5,9,7,9,7,1,5,2,12,9,13
93,,4,2,7,6,15,10,10,10,1,5,3,7,10,9
94,,5,2,8,5,13,8,7,8,1,4,3,13,13,11
95,,9,2,12,5,7,9,7,5,1,4,3,12,12,9
96,,5,2,10,6,6,13,9,6,1,4,3,10,13,15
97,,10,2,10,4,8,6,13,6,1,5,3,15,10,13
98,,10,2,8,7,10,6,10,4,1,5,3,14,13,15
99,,4,2,14,5,10,10,7,7,1,6,3,10,13,14
100,,7,2,8,5,10,13,10,5,1,4,3,13,15,12
101,7:40 PM ET,4,2,7,5,14,12,6,9,1,8,3,12,14,11
102,,6,2,9,5,9,12,8,7,1,3,3,12,14,9
103,,4,2,9,5,9,12,8,7,1,5,3,11,13,13
104,,4,2,5,7,10,10,7,6,1,10,3,9,13,14
105,,5,2,12,6,9,9,6,8,1,4,3,9,14,13
106,,6,2,9,8,5,13,10,4,1,6,3,12,13,11
107,,4,2,10,9,6,6,13,10,1,4,3,13,6,12
108,,5,2,13,8,5,8,11,8,1,4,3,11,5,14
109,,4,2,9,5,7,6,8,9,1,9,3,14,13,12
110,,4,2,8,3,7,5,12,12,1,9,5,12,11,9
111,7:50 PM ET,4,2,11,6,11,8,6,8,1,5,3,15,8,14
112,,7,2,5,7,11,6,7,11,1,4,3,11,11,10
113,,3,2,14,4,8,6,8,4,1,8,6,13,12,11
114,,5,2,7,8,4,5,8,8,1,8,3,13,12,13
115,,4,2,13,9,7,9,7,5,1,6,3,9,9,14
116,,7,2,13,7,10,11,4,4,1,4,3,11,9,14
117,,3,2,11,6,7,11,7,9,1,5,3,11,11,10
118,,6,2,6,6,11,15,6,5,1,3,4,14,6,13
119,,5,2,8,5,12,11,8,7,1,4,3,15,8,14
120,,4,2,12,7,12,7,7,5,1,5,3,11,12,10
121,8:00 PM ET,5,2,5,8,12,8,8,4,1,5,3,12,8,12
122,,4,2,12,5,9,9,7,8,1,6,3,11,14,15
123,,4,2,5,10,12,8,10,5,1,5,3,9,12,15
124,,13,2,10,4,6,6,13,6,1,4,3,6,12,15
125,,3,2,12,5,10,12,8,6,1,6,3,9,12,15
126,,4,2,12,8,10,12,6,7,1,5,3,11,9,15
127,,6,2,10,4,8,9,13,7,1,3,5,10,13,15
128,,7,2,4,4,4,8,8,8,1,8,3,14,12,15
129,,4,2,8,5,8,8,8,12,1,5,3,12,7,15
130,,4,2,11,5,9,11,5,7,1,7,3,14,10,15
131,8:10 PM ET,5,2,8,4,9,11,11,5,1,5,3,14,10,15
132,,3,2,7,3,7,11,11,9,1,6,5,11,11,15
133,,8,2,13,4,6,10,10,7,1,4,3,13,12,13
134,,3,2,8,7,9,12,10,4,1,4,4,12,12,15
135,,6,2,11,5,7,7,7,7,1,3,4,14,13,15
136,,4,2,4,8,8,12,10,4,1,4,3,12,12,15
137,,4,2,11,7,13,4,4,7,1,7,3,10,12,13
138,,5,2,8,8,4,8,7,8,1,5,3,13,8,14
139,,4,2,11,7,8,8,8,6,1,3,5,11,11,11
140,,4,2,11,5,12,12,6,7,1,10,3,14,9,15
141,8:20 PM ET,6,2,11,4,7,12,7,5,1,9,3,13,15,14
142,,6,2,9,4,7,12,7,12,1,4,3,12,11,15
143,,3,2,8,4,6,14,8,8,1,6,4,14,11,13
144,,5,2,10,4,8,12,5,12,1,8,2,12,5,12
145,,3,2,7,5,10,14,7,5,1,4,7,10,10,15
146,,6,2,10,6,10,8,12,5,1,4,3,15,9,14
